J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
116,0.00994989,0.00995743,-3.84E-06,-3.53E-06,2.61E-07,1.26E-07
117,0.00995071,0.00995404,-3.39E-06,-3.28E-06,2.51E-07,1.41E-07
118,0.00995153,0.00995112,-2.92E-06,-3.04E-06,2.42E-07,1.49E-07
119,0.00995279,0.00994867,-2.45E-06,-2.81E-06,2.24E-07,1.50E-07
120,0.00995273,0.00994669,-1.98E-06,-2.63E-06,1.85E-07,1.43E-07
121,0.00995134,0.00994515,-1.54E-06,-2.48E-06,1.49E-07,1.29E-07
122,0.00994862,0.00994391,-1.24E-06,-2.36E-06,1.20E-07,1.08E-07
123,0.00994458,0.00994275,-1.15E-06,-2.27E-06,9.24E-08,8.34E-08
124,0.00994098,0.00994139,-1.36E-06,-2.20E-06,6.29E-08,5.63E-08
125,0.00993782,0.0099398,-1.60E-06,-2.18E-06,2.75E-08,3.10E-08
126,0.00993422,0.0099379,-1.89E-06,-2.19E-06,-9.83E-09,8.12E-09
127,0.00993195,0.0099356,-2.30E-06,-2.23E-06,-4.13E-08,-1.11E-08
128,0.00993144,0.00993297,-2.63E-06,-2.30E-06,-7.27E-08,-2.44E-08
129,0.00993138,0.00993017,-2.80E-06,-2.41E-06,-1.06E-07,-3.22E-08
130,0.00993131,0.00992727,-2.89E-06,-2.54E-06,-1.34E-07,-3.64E-08
131,0.00992948,0.00992438,-2.89E-06,-2.68E-06,-1.45E-07,-3.76E-08
132,0.00992676,0.0099214,-2.98E-06,-2.81E-06,-1.28E-07,-3.60E-08
133,0.00992316,0.00991833,-3.07E-06,-2.91E-06,-1.02E-07,-3.05E-08
134,0.00991824,0.00991526,-3.07E-06,-2.98E-06,-6.48E-08,-2.10E-08
135,0.00991331,0.00991219,-3.07E-06,-2.99E-06,-1.38E-08,-8.26E-09
136,0.00990927,0.00990906,-3.13E-06,-2.96E-06,3.14E-08,6.68E-09
137,0.00990523,0.00990582,-3.25E-06,-2.90E-06,5.70E-08,2.29E-08
138,0.00990118,0.00990248,-3.34E-06,-2.83E-06,7.47E-08,3.99E-08
139,0.00989626,0.0098992,-3.28E-06,-2.74E-06,8.65E-08,5.58E-08
140,0.00989177,0.00989607,-3.13E-06,-2.63E-06,1.10E-07,6.69E-08
141,0.00988817,0.00989321,-2.86E-06,-2.50E-06,1.34E-07,7.18E-08
142,0.0098859,0.0098907,-2.51E-06,-2.35E-06,1.49E-07,6.86E-08
143,0.00988451,0.00988854,-2.16E-06,-2.20E-06,1.51E-07,5.61E-08
144,0.00988268,0.00988659,-1.95E-06,-2.06E-06,1.38E-07,3.37E-08
145,0.00988128,0.00988482,-1.77E-06,-1.94E-06,1.22E-07,3.28E-09
146,0.00988034,0.00988323,-1.60E-06,-1.85E-06,9.24E-08,-3.56E-08
147,0.00987983,0.00988189,-1.33E-06,-1.81E-06,3.93E-08,-8.74E-08
148,0.00988021,0.00988083,-1.07E-06,-1.84E-06,-2.95E-08,-1.58E-07
149,0.00988059,0.00988,-8.30E-07,-1.95E-06,-1.12E-07,-2.49E-07
150,0.00988097,0.0098792,-8.00E-07,-2.15E-06,-2.02E-07,-3.65E-07
151,0.00988002,0.00987813,-1.07E-06,-2.46E-06,-3.05E-07,-5.07E-07
152,0.00987863,0.00987671,-1.42E-06,-2.86E-06,-3.99E-07,-6.74E-07
153,0.00987724,0.00987476,-1.95E-06,-3.36E-06,-5.09E-07,-8.68E-07
154,0.00987629,0.00987208,-2.69E-06,-4.05E-06,-6.90E-07,-1.09E-06
155,0.00987578,0.00986851,-3.57E-06,-5.00E-06,-9.47E-07,-1.33E-06
156,0.00987572,0.00986396,-4.54E-06,-6.24E-06,-1.24E-06,-1.59E-06
157,0.00987389,0.00985842,-5.55E-06,-7.83E-06,-1.59E-06,-1.87E-06
158,0.00986852,0.00985169,-6.72E-06,-9.80E-06,-1.98E-06,-2.17E-06
159,0.00986138,0.00984376,-7.93E-06,-1.22E-05,-2.37E-06,-2.48E-06
160,0.00985204,0.00983435,-9.41E-06,-1.50E-05,-2.79E-06,-2.81E-06
161,0.00984004,0.00982241,-1.19E-05,-1.82E-05,-3.22E-06,-3.14E-06
162,0.00982627,0.00980687,-1.55E-05,-2.18E-05,-3.60E-06,-3.47E-06
163,0.00981206,0.00978721,-1.97E-05,-2.57E-05,-3.93E-06,-3.79E-06
164,0.0097974,0.0097626,-2.46E-05,-3.00E-05,-4.30E-06,-4.07E-06
165,0.0097801,0.00973215,-3.05E-05,-3.47E-05,-4.67E-06,-4.32E-06
166,0.00976102,0.00969553,-3.66E-05,-3.97E-05,-5.00E-06,-4.53E-06
167,0.00973753,0.00965232,-4.32E-05,-4.50E-05,-5.30E-06,-4.68E-06
168,0.00969812,0.00960204,-5.03E-05,-5.05E-05,-5.55E-06,-4.77E-06
169,0.00964323,0.00954533,-5.67E-05,-5.62E-05,-5.65E-06,-4.81E-06
170,0.00958083,0.00948275,-6.26E-05,-6.18E-05,-5.62E-06,-4.79E-06
171,0.0095065,0.00941378,-6.90E-05,-6.73E-05,-5.54E-06,-4.72E-06
