J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
295,-0.00341707,-0.00340573,-0.000103641,-0.000103292,8.52E-07,9.73E-07
296,-0.00351703,-0.00350814,-0.000102413,-0.00010273,5.62E-07,7.42E-07
297,-0.00361346,-0.00360952,-0.000101382,-0.00010249,2.40E-07,4.13E-07
298,-0.00370855,-0.00371002,-0.000100498,-0.000102517,-2.72E-08,8.16E-09
299,-0.00380453,-0.00381042,-0.000100399,-0.000102806,-2.89E-07,-4.41E-07
300,-0.00390272,-0.00391195,-0.00010153,-0.000103363,-5.57E-07,-8.60E-07
301,-0.00400444,-0.00401515,-0.0001032,-0.000104138,-7.75E-07,-1.16E-06
302,-0.00410882,-0.00412027,-0.000105115,-0.000105012,-8.73E-07,-1.35E-06
303,-0.00421718,-0.00422735,-0.000107081,-0.000105907,-8.95E-07,-1.57E-06
304,-0.00433084,-0.004336,-0.000108653,-0.000106731,-8.24E-07,-1.95E-06
305,-0.00444583,-0.00444539,-0.000109389,-0.000107375,-6.44E-07,-2.51E-06
306,-0.00455949,-0.00455463,-0.000109241,-0.000107893,-5.19E-07,-3.28E-06
307,-0.00467227,-0.00466318,-0.000108554,-0.000108789,-8.95E-07,-4.28E-06
308,-0.0047824,-0.004771,-0.000107817,-0.00011059,-1.80E-06,-5.49E-06
309,-0.00488722,-0.00487833,-0.000107326,-0.000113401,-2.81E-06,-6.75E-06
310,-0.00498761,-0.00498619,-0.000107866,-0.000117249,-3.85E-06,-7.80E-06
311,-0.00508581,-0.00509936,-0.000113172,-0.00012215,-4.90E-06,-8.23E-06
312,-0.00518753,-0.00522266,-0.000123291,-0.000127876,-5.73E-06,-7.42E-06
313,-0.00529677,-0.00535661,-0.00013395,-0.000133732,-5.86E-06,-4.86E-06
